trial,cue_time_s,label
1,2.001,LEFT
2,12.001,LEFT
3,22.002,RIGHT
4,32.003,LEFT
5,42.003,LEFT
6,52.004,LEFT
7,62.005,RIGHT
8,72.005,LEFT
9,82.006,RIGHT
10,92.007,RIGHT
11,102.008,LEFT
12,112.008,RIGHT
13,122.009,RIGHT
14,132.01,RIGHT
15,142.01,LEFT
16,152.011,LEFT
17,162.012,LEFT
18,172.012,RIGHT
19,182.013,LEFT
20,192.014,RIGHT
21,202.014,LEFT
22,212.022,RIGHT
23,222.023,RIGHT
24,232.023,LEFT
25,242.024,RIGHT
26,252.025,RIGHT
27,262.025,LEFT
28,272.026,LEFT
29,282.027,RIGHT
30,292.027,RIGHT
31,302.028,LEFT
32,312.029,RIGHT
33,322.029,LEFT
34,332.03,RIGHT
35,342.031,LEFT
36,352.032,RIGHT
37,362.032,LEFT
38,372.033,RIGHT
39,382.034,RIGHT
40,392.034,LEFT
